Año;Agua embalsada;Capacidad de los embalses
1988;30.046;42.788
1989;23.416;42.794
1990;29.393;48.678
1991;29.081;48.678
1992;22.714;48.767
1993;23.715;48.952
1994;26.520;51.114
1995;19.958;51.095
1996;37.040;51.562
1997;37.173;51.559
1998;42.346;51.564
1999;32.781;53.069
2000;34.499;53.069
2001;40.753;53.191
2002;32.964;53.224
2003;40.921;53.246
2004;40.704;53.198
2005;31.016;53.198
2006;30.103;53.252
2007;35.395;54.148
2008;32.187;54.308
2009;32.722;54.364
2010;46.114;55.581
2011;45.030;55.590
2012;36.755;55.590
2013;47.306;55.326
2014;45.431;55.343
2015;41.745;55.977
2016;41.702;55.977
2017;31.618;55.973
2018;40.591;56.074
2019;33.587;56.118
2020;36.806;55.622
2021;33.098;55.899
2022;27.489;56.136
2023;26.588;56.069
