Año;Periodo;Agua embalsada
1988;Semana 1;23.337
1988;Semana 2;23.555
1988;Semana 3;24.334
1988;Semana 4;25.230
1988;Semana 5;27.549
1988;Semana 6;28.249
1988;Semana 7;28.313
1988;Semana 8;27.976
1988;Semana 9;27.578
1988;Semana 10;27.205
1988;Semana 11;27.200
1988;Semana 12;27.128
1988;Semana 13;26.945
1988;Semana 14;26.874
1988;Semana 15;27.256
1988;Semana 16;27.825
1988;Semana 17;28.582
1988;Semana 18;28.920
1988;Semana 19;29.374
1988;Semana 20;29.930
1988;Semana 21;30.154
1988;Semana 22;30.255
1988;Semana 23;30.046
1988;Semana 24;30.030
1988;Semana 25;30.441
1988;Semana 26;30.302
1988;Semana 27;30.363
1988;Semana 28;30.329
1988;Semana 29;29.672
1988;Semana 30;29.008
1988;Semana 31;28.129
1988;Semana 32;27.277
1988;Semana 33;26.460
1988;Semana 34;25.464
1988;Semana 35;24.615
1988;Semana 36;23.685
1988;Semana 37;22.823
1988;Semana 38;22.064
1988;Semana 39;21.410
1988;Semana 40;20.849
1988;Semana 41;20.286
1988;Semana 42;20.034
1988;Semana 43;19.990
1988;Semana 44;19.664
1988;Semana 45;19.353
1988;Semana 46;19.679
1988;Semana 47;19.506
1988;Semana 48;19.112
1988;Semana 49;19.016
1988;Semana 50;18.945
1988;Semana 51;18.810
1988;Semana 52;18.661
1989;Semana 1;18.512
1989;Semana 2;18.441
1989;Semana 3;18.427
1989;Semana 4;18.301
1989;Semana 5;18.210
1989;Semana 6;18.126
1989;Semana 7;18.198
1989;Semana 8;18.211
1989;Semana 9;18.470
1989;Semana 10;19.475
1989;Semana 11;19.902
1989;Semana 12;20.049
1989;Semana 13;20.114
1989;Semana 14;20.235
1989;Semana 15;20.826
1989;Semana 16;21.896
1989;Semana 17;22.509
1989;Semana 18;22.946
1989;Semana 19;23.222
1989;Semana 20;23.126
1989;Semana 21;22.923
1989;Semana 22;23.001
1989;Semana 23;23.416
1989;Semana 24;23.447
1989;Semana 25;23.238
1989;Semana 26;22.781
1989;Semana 27;22.134
1989;Semana 28;21.427
1989;Semana 29;20.709
1989;Semana 30;19.994
1989;Semana 31;19.279
1989;Semana 32;18.711
1989;Semana 33;18.266
1989;Semana 34;17.611
1989;Semana 35;17.225
1989;Semana 36;16.752
1989;Semana 37;16.596
1989;Semana 38;16.374
1989;Semana 39;16.147
1989;Semana 40;15.876
1989;Semana 41;15.585
1989;Semana 42;15.425
1989;Semana 43;15.306
1989;Semana 44;15.138
1989;Semana 45;15.005
1989;Semana 46;14.989
1989;Semana 47;15.739
1989;Semana 48;17.765
1989;Semana 49;18.865
1989;Semana 50;20.415
1989;Semana 51;23.671
1989;Semana 52;26.469
1990;Semana 1;27.503
1990;Semana 2;27.958
1990;Semana 3;27.701
1990;Semana 4;27.438
1990;Semana 5;27.531
1990;Semana 6;28.641
1990;Semana 7;28.542
1990;Semana 8;30.190
1990;Semana 9;29.878
1990;Semana 10;29.686
1990;Semana 11;29.440
1990;Semana 12;29.206
1990;Semana 13;28.978
1990;Semana 14;28.671
1990;Semana 15;28.813
1990;Semana 16;29.036
1990;Semana 17;29.285
1990;Semana 18;29.710
1990;Semana 19;29.648
1990;Semana 20;29.541
1990;Semana 21;29.427
1990;Semana 22;29.616
1990;Semana 23;29.393
1990;Semana 24;29.072
1990;Semana 25;28.906
1990;Semana 26;28.502
1990;Semana 27;27.952
1990;Semana 28;27.143
1990;Semana 29;26.300
1990;Semana 30;25.391
1990;Semana 31;24.633
1990;Semana 32;23.802
1990;Semana 33;23.114
1990;Semana 34;22.420
1990;Semana 35;21.824
1990;Semana 36;21.282
1990;Semana 37;20.715
1990;Semana 38;20.311
