ID;LATITUD;LONGITUD;ALTURA;NOMBRE_ESTACION;INICIO;FIN
SP000004452;388.831;-68.292;185;BADAJOZ/TALAVERA LA REAL;1955;2019
SP000006155;366.667;-44.881;7;MALAGA AEROPUERTO;1942;2019
SP000007038;379.769;7.106;1;TORREVIEJA;1927;2019
SP000008027;433.075;-20.392;251;SAN SEBASTIAN - IGUELDO;1916;2019
SP000008181;412.928;20.697;4;BARCELONA/AEROPUERTO;1924;2019
SP000008202;409.592;-54.981;790;SALAMANCA AEROPUERTO;1945;2019
SP000008215;407.806;-40.103;1894;NAVACERRADA;1946;2019
SP000008280;389.519;-18.631;704;ALBACETE LOS LLANOS;1901;2019
SP000008410;378.442;-48.458;90;CORDOBA AEROPUERTO;1955;2019
SP000008416;394.806;3.664;11;VALENCIA;1935;2019
SP000009434;416.617;-10.081;247;ZARAGOZA AEROPUERTO;1941;2019
SP000009981;408.206;4.914;44;TORTOSA - OBSERVATORIO DEL EBR;1905;2019
SP000060010;283.089;-164.992;2371;IZANA;1919;2019
SP000060040;289.517;-136.003;14;LANZAROTE/AEROPUERTO;1959;2019
SP000060338;352.778;-29.553;47;MELILLA;1961;2019
SPE00101035;382.828;5.706;43;ALICANTE EL ALTET;1967;2019
SPE00101043;383.725;4.942;81;ALICANTE;1938;2019
SPE00119711;433.669;-84.192;58;A CORUNA;1930;2019
SPE00119720;433.067;-83.719;98;A CORUNA/ALVEDRO;1971;2019
SPE00119729;428.878;-84.106;370;SANTIAGO DE COMPOSTELA/LABACOL;1943;2019
SPE00119738;428.506;-26.544;521;VITORIA AERODROMO;1943;1980
SPE00119747;428.717;-27.331;513;VITORIA/FORONDA;1973;2019
SPE00119756;390.067;-18.606;674;ALBACETE OBS.;1983;2019
SPE00119774;368.331;-24.544;7;ALMERIA;1934;1981
SPE00119783;368.464;-23.567;21;ALMERIA/AEROPUERTO;1968;2019
SPE00119792;435.667;-60.442;127;ASTURIAS/AVILES;1968;2019
SPE00119801;435.381;-56.417;22;GIJON LA MERCED;1938;2001
SPE00119819;435.606;-56.983;5;GIJON MUSEL;1973;2019
SPE00119828;433.542;-58.728;336;OVIEDO;1972;2019
SPE00119837;406.592;-46.800;1130;AVILA;1973;2019
SPE00119846;406.556;-46.992;1143;AVILA-AYUNTAMIENTO;1953;1983
SPE00119855;388.764;13.842;6;IBIZA/ESCODOLA;1944;2019
SPE00119864;398.544;42.156;91;MENORCA/MAO;1965;2019
SPE00119882;395.556;26.264;3;PALMA DE MALLORCA CMT;1972;2019
SPE00119909;423.558;-36.325;890;BURGOS-VILLAFRIA;1943;2019
SPE00119918;394.719;-63.392;405;CACERES;1973;2019
SPE00119936;365.008;-62.567;1;CADIZ;1935;2019
SPE00119945;367.506;-60.556;27;JEREZ DE LA FRONTERA;1946;2019
SPE00119954;366.389;-63.317;21;ROTA;1988;2019
SPE00119963;360.153;-55.975;32;TARIFA;1945;2019
SPE00119972;434.644;-38.189;64;SANTANDER CENTRO;1924;1997
SPE00119981;434.917;-37.994;52;SANTANDER CMT;1946;2019
SPE00119990;434.292;-38.314;5;SANTANDER/PARAYAS;1953;2019
SPE00119999;399.500;714;35;CASTELLON;1973;2019
SPE00120008;399.892;406;25;CASTELLON DE LA PLANA;1920;1975
SPE00120017;358.900;-53.456;87;CEUTA;1965;2019
SPE00120026;358.919;-52.892;200;CEUTA (MONTE HACHO);1935;1986
SPE00120035;389.892;-39.194;628;CIUDAD REAL;1970;2019
SPE00120044;389.892;-39.283;627;CIUDAD REAL (INSTITUTO);1920;1970
SPE00120062;400.667;-21.381;945;CUENCA;1951;2019
SPE00120080;419.117;27.631;143;GIRONA/COSTA BRAVA;1973;2019
SPE00120089;371.894;-37.892;567;GRANADA/AEROPUERTO;1972;2019
SPE00120107;406.608;-31.742;639;GUADALAJARA;1975;2019
SPE00120116;406.344;-31.642;685;GUADALAJARA (INSTITUTO);1951;1986
SPE00120125;408.442;-18.853;1056;MOLINA DE ARAGON;1949;2019
SPE00120134;433.606;-17.869;4;SAN SEBASTIAN/FUENTERRABIA;1955;2019
SPE00120143;372.800;-69.094;19;HUELVA (RONDA DEL ESTE);1984;2019
SPE00120152;372.594;-69.492;17;HUELVA;1920;2019
SPE00120161;420.831;3.264;541;HUESCA;1943;2019
SPE00120170;377.778;-38.075;582;JAEN;1978;2019
SPE00120179;377.778;-37.881;510;JAEN (INSTITUTO);1920;2014
SPE00120188;424.519;-23.308;353;LOGRONO-AGONCILLO;1948;2019
SPE00120197;284.444;-138.631;25;FUERTEVENTURA/AEROPUERTO;1959;2019
SPE00120215;279.225;-153.892;24;LAS PALMAS DE GRAN CANARIA/GAN;1957;2019
